"","value","distance","Source"
"133",0.103965120249341,162.5,"Haul"
"134",0.173811656350408,187.5,"Haul"
"135",0.262648724840441,187.5,"Haul"
"136",0.318051190236471,187.5,"Haul"
"137",0.109436968683517,187.5,"Haul"
"138",0.0142743873718493,187.5,"Haul"
"139",0.0136796210854396,187.5,"Haul"
"140",0.0656621812101102,187.5,"Haul"
"141",0.109436968683517,187.5,"Haul"
"142",0.164155453025276,187.5,"Haul"
"143",0.0152702742928183,187.5,"Haul"
"144",0.0569072237154289,187.5,"Haul"
"145",0.125070821477662,187.5,"Haul"
"146",0.0364789898530043,187.5,"Haul"
"147",0.206714274082699,187.5,"Haul"
"148",0.273592421708793,187.5,"Haul"
"149",0.0364789898530043,187.5,"Haul"
"150",0.109436968683517,187.5,"Haul"
"151",0.295479815445496,187.5,"Haul"
"152",0.0700396599574509,187.5,"Haul"
"153",0.14484304637501,212.5,"Haul"
"154",0.218873937367034,212.5,"Haul"
"155",0.265042658530393,212.5,"Haul"
"156",0.0911974741947628,212.5,"Haul"
"157",0.0118953231017063,212.5,"Haul"
"158",0.0136796210854396,212.5,"Haul"
"159",0.0547184843417585,212.5,"Haul"
"160",0.0911974741947628,212.5,"Haul"
"161",0.136796210854396,212.5,"Haul"
"162",0.0127252291610124,212.5,"Haul"
"163",0.0590959630890992,212.5,"Haul"
"164",0.125070821477662,212.5,"Haul"
"165",0.030399157773089,212.5,"Haul"
"166",0.139836126456606,212.5,"Haul"
"167",0.227993685049159,212.5,"Haul"
"168",0.0547184843417585,212.5,"Haul"
"169",0.120380665551869,212.5,"Haul"
"170",0.29000796701132,212.5,"Haul"
"171",0.0656621812101102,212.5,"Haul"
"172",0.130358742262806,237.5,"Haul"
"173",0.196986543630331,237.5,"Haul"
"174",0.238538393115101,237.5,"Haul"
"175",0.0820777265126378,237.5,"Haul"
"176",0.010705790528887,237.5,"Haul"
"177",0.0136796210854396,237.5,"Haul"
"178",0.0492466359075827,237.5,"Haul"
"179",0.0820777265126378,237.5,"Haul"
"180",0.123116589768957,237.5,"Haul"
"181",0.0114527057196137,237.5,"Haul"
"182",0.0601903327759344,237.5,"Haul"
"183",0.125070821477662,237.5,"Haul"
"184",0.0273592421708793,237.5,"Haul"
"185",0.106397053081307,237.5,"Haul"
"186",0.205194316281594,237.5,"Haul"
"187",0.0638382320238835,237.5,"Haul"
"188",0.125852513986045,237.5,"Haul"
"189",0.287272042794232,237.5,"Haul"
"190",0.0634734418364399,237.5,"Haul"
"191",0.108632284781257,262.5,"Haul"
"192",0.164155453025276,262.5,"Haul"
"193",0.198781993678921,262.5,"Haul"
"194",0.0683981054271982,262.5,"Haul"
"195",0.00892149166965794,262.5,"Haul"
"196",0.0136796210854396,262.5,"Haul"
"197",0.0410388632563189,262.5,"Haul"
"198",0.0683981054271982,262.5,"Haul"
"199",0.102597158140797,262.5,"Haul"
"200",0.00954392187075932,262.5,"Haul"
"201",0.0618318873061871,262.5,"Haul"
"202",0.125070821477662,262.5,"Haul"
"203",0.0227993687675646,262.5,"Haul"
"204",0.0562384421428634,262.5,"Haul"
"205",0.170995263567995,262.5,"Haul"
"206",0.0775178531093232,262.5,"Haul"
"207",0.134060286637308,262.5,"Haul"
"208",0.2831681564686,262.5,"Haul"
"209",0.0601903327759344,262.5,"Haul"
"210",0.10501120897208,287.5,"Haul"
"211",0.1586836045911,287.5,"Haul"
"212",0.192155927543972,287.5,"Haul"
"213",0.066118168287793,287.5,"Haul"
"214",0.0086241085264531,287.5,"Haul"
"215",0.0136796210854396,287.5,"Haul"
"216",0.0396709011477749,287.5,"Haul"
"217",0.066118168287793,287.5,"Haul"
"218",0.0991772528694373,287.5,"Haul"
"219",0.00922579122928358,287.5,"Haul"
"220",0.0621054797278959,287.5,"Haul"
"221",0.125070821477662,287.5,"Haul"
"222",0.0220393894292643,287.5,"Haul"
"223",0.0478786737990387,287.5,"Haul"
"224",0.16529542115723,287.5,"Haul"
"225",0.0797977893732326,287.5,"Haul"
